PART NUMBER	DESCRIPTION  (optional)	 FOCAL LENGTH 	LENS DIAMETER	CLEAR APERTURE (optional)	NUMBER OF SURFACES	WAVELENGTH MICROMETERS (optional)	WAVELENGTH MICROMETERS (optional)	WAVELENGTH MICROMETERS (optional)	RADIUS 1 	THICK 1	GLASS 1	RADIUS 2	THICK 2	GLASS 2	RADIUS 3	THICK 3	GLASS 3	RADIUS 4	THICK 4	GLASS 4	RADIUS 5	THICK 5	GLASS 5	RADIUS 6	THICK 6	GLASS 6	RADIUS 7	THICK 7	GLASS 7	RADIUS 8	THICK 8	GLASS 8	
45297	DCX	40,0	25,0		2				40,42	5,30	BK7	-40,42																					
32625	DCX	50,0	25,0		2				50,80	5,00	BK7	-50,80																					
32627	DCX	75,0	25,0		2				76,66	3,50	BK7	-76,66																					
32718	DCX	100,0	25,0		2				103,00	4,00	BK7	-103,00																					
32874	DCX	125,0	25,0		2				128,65	3,50	BK7	-128,65																					
32876	DCX	150,0	25,0		2				154,52	3,40	BK7	-154,52																					
32878	DCX	175,0	25,0		2				180,40	3,20	BK7	-180,40																					
32903	DCX	200,0	25,0		2				208,34	5,00	K5	-208,34																					
32905	DCX	400,0	25,0		2				417,54	5,00	K5	-417,54																					
45164	DCX	50,0	30,0		2				50,67	6,55	BK7	-50,67																					
45166	DCX	75,0	30,0		2				76,67	4,96	BK7	-76,67																					
32880	DCX	70,0	35,0		2				71,08	7,50	BK7	-71,08																					
45168	DCX	60,0	40,0		2				60,56	8,80	BK7	-60,56																					
32907	DCX	80,0	40,0		2				82,29	8,00	K5	-82,29																					
32909	DCX	100,0	40,0		2				103,21	8,00	K5	-103,21																					
32911	DCX	200,0	40,0		2				207,93	8,00	K5	-207,93																					
45299	DCX	400,0	40,0		2				412,09	8,00	BK7	-412,09																					
32979	DCX	50,0	50,0		2				74,78	16,00	SF11	-74,78																					
32981	DCX	100,0	50,0		2				101,63	10,00	BK7	-101,63																					
32983	DCX	150,0	50,0		2				153,49	9,00	BK7	-153,49																					
45170	DCX	200,0	50,0		2				205,86	5,05	BK7	-205,86																					
45172	DCX	250,0	50,0		2				257,57	4,93	BK7	-257,57																					
45548	Drum Lens	1,83	2		2				1,25	2,5	bk7	-1,25																					
46524	Drum Lens	2,42	2		2				1,25	2	BK7	0																					
45549	Drum Lens	2,2	2,4		2				1,5	3	bk7	-1,5																					
46525	Drum Lens	2,9	2,4		2				1,5	2,4	BK7	0																					
45550	Drum Lens	2,94	3,2		2				2	4	bk7	-2																					
46526	Drum Lens	3,87	3,2		2				2	3,2	BK7	0																					
45551	Drum Lens	3,67	4		2				2,5	5	bk7	-2,5																					
46527	Drum Lens	4,84	4		2				2,5	4	BK7	0																					
45663	Drum Lens	1,36	2		2				1,25	2,5	LaSFN9	-1,25																					
46528	Drum Lens	1,47	2		2				1,25	2	LASFN9	0																					
45664	Drum Lens	1,63	2,4		2				1,5	3	LaSFN9	-1,5																					
46529	Drum Lens	1,76	2,4		2				1,5	2,4	LASFN9	0																					
45665	Drum Lens	2,18	3,2		2				2	4	LaSFN9	-2																					
46530	Drum Lens	2,35	3,2		2				2	3,2	LASFN9	0																					
45666	Drum Lens	2,72	4		2				2,5	5	LaSFN9	-2,5																					
46531	Drum Lens	2,94	4		2				2,5	4	LASFN9	0																					
45933	Half Ball Lens	1,94	2		2				1	1	bk7	0																					
47269	Half Ball Lens	2,9	3		2				1,5	1,5	bk7	0																					
45934	Half Ball Lens	3,87	4		2				2	2	bk7	0																					
47270	Half Ball Lens	4,84	5		2				2,5	2,5	bk7	0																					
45935	Half Ball Lens	5,81	6		2				3	3	bk7	0																					
45936	Half Ball Lens	7,74	8		2				4	4	bk7	0																					
45937	Half Ball Lens	9,68	10		2				5	5	bk7	0																					
36187	Hastings Triplet	12,50	8,00		4				9,48	0,89	  F2	4,66	5,40	  K5	-4,66	0,89	  F2	-9,48															
45251	Hastings Triplet	20,00	12,50		4				14,95	1,10	F2	7,34	7,98	BK7	-7,34	1,10	F2	-14,95															
30120	Hastings Triplet	25,40	15,01		4				19,00	1,14	  F2	9,30	10,21	 BK7	-9,30	1,14	  F2	-19,00															
30229	Hastings Triplet	40,30	23,00		4				32,48	3,50	F2	18,15	11,00	BK7	-18,15	3,50	F2	-32,48															
47128	Ball Lens	0,497	1,00		2				0,50	1,00	S-LAH79	-0,50																					
47129	Ball Lens	0,995	2,00		2				1,00	2,00	S-LAH79	-1,00																					
47130	Ball Lens	2,487	5,00		2				2,50	5,00	S-LAH79	-2,50																					
47131	Ball Lens	3,979	8,00		2				4,00	8,00	S-LAH79	-4,00																					
45528	Ball Lens	0,73	1		2				0,5	1	BK7	-0,5																					
45529	Ball Lens	1,1	1,5		2				0,75	1,5	BK7	-0,75																					
45530	Ball Lens	1,47	2		2				1	2	BK7	-1																					
45531	Ball Lens	1,83	2,5		2				1,25	2,5	BK7	-1,25																					
45533	Ball Lens	2,94	4		2				2	4	BK7	-2																					
45535	Ball Lens	4,4	6		2				3	6	BK7	-3																					
45536	Ball Lens	5,87	8		2				4	8	BK7	-4																					
45537	Ball Lens	7,34	10		2				5	10	BK7	-5																					
43674	Spherical Mirror	4,5	9		1				-9		mirror																						
46231	Spherical Mirror	10	10		1				-20		mirror																						
46232	Spherical Mirror	20	10		1				-40		mirror																						
46233	Spherical Mirror	40	10		1				-80		mirror																						
43462	Spherical Mirror	6	12		1				-12		mirror																						
43463	Spherical Mirror	12	12		1				-24		mirror																						
46234	Spherical Mirror	15	15		1				-30		mirror																						
46235	Spherical Mirror	30	15		1				-60		mirror																						
46236	Spherical Mirror	60	15		1				-120		mirror																						
46237	Spherical Mirror	20	20		1				-40		mirror																						
46238	Spherical Mirror	40	20		1				-80		mirror																						
46239	Spherical Mirror	80	20		1				-160		mirror																						
43464	Spherical Mirror	10	25		1				-20		mirror																						
43465	Spherical Mirror	25	25		1				-50		mirror																						
43466	Spherical Mirror	50	25		1				-100		mirror																						
43536	Spherical Mirror	25,4	25,4		1				-50,8		mirror																						
43538	Spherical Mirror	50,8	25,4		1				-101,6		mirror																						
43540	Spherical Mirror	76,2	25,4		1				-152,4		mirror																						
43542	Spherical Mirror	101,6	25,4		1				-203,2		mirror																						
43467	Spherical Mirror	15	35		1				-30		mirror																						
43468	Spherical Mirror	35	35		1				-70		mirror																						
43469	Spherical Mirror	25	50		1				-50		mirror																						
43470	Spherical Mirror	50	50		1				-100		mirror																						
43471	Spherical Mirror	100	50		1				-200		mirror																						
43544	Spherical Mirror	50,8	50,8		1				-101,6		mirror																						
43546	Spherical Mirror	101,6	50,8		1				-203,2		mirror																						
43548	Spherical Mirror	304,8	50,8		1				-609,6		mirror																						
43550	Spherical Mirror	508	50,8		1				-1016		mirror																						
43552	Spherical Mirror	1016	50,8		1				-2032		mirror																						
31377	Spherical Mirror	635	63,5		1				-1270		mirror																						
43554	Spherical Mirror	76,2	76,2		1				-152,4		mirror																						
43556	Spherical Mirror	152,4	76,2		1				-304,8		mirror																						
43585	Spherical Mirror	203,2	76,2		1				-406,4		mirror																						
43558	Spherical Mirror	457,2	76,2		1				-914,4		mirror																						
31378	Spherical Mirror	762	76,2		1				-1524		mirror																						
43560	Spherical Mirror	762	76,2		1				-1524		mirror																						
31379	Spherical Mirror	1143	107,95		1				-2286		mirror																						
43966	Spherical Mirror	101,6	127		1				-203,2		mirror																						
43562	Spherical Mirror	152,4	152,4		1				-304,8		mirror																						
43564	Spherical Mirror	304,8	152,4		1				-609,6		mirror																						
43971	Spherical Mirror	609,6	152,4		1				-1219,2		mirror																						
43566	Spherical Mirror	914,4	152,4		1				-1828,8		mirror																						
31380	Spherical Mirror	1524	152,4		1				-3048		mirror																						
43568	Spherical Mirror	1524	152,4		1				-3048		mirror																						
43590	Spherical Mirror	609,6	203,2		1				-1219,2		mirror																						
43570	Spherical Mirror	2540	254		1				-5080		mirror																						
43572	Spherical Mirror	3175	317,5		1				-6350		mirror																						
43992	Mounted Achromat Pair	7,67	12,5	9,5	6				56,54	1,5	SF5	7,72	6,23	BaFN10	-10,60	0,92		10,60	6,23	BaFN10	-7,72	1,5	SF5	-56,54									
